"","Organization","Website","Sector","Dimension","Component","Indicator","Resources","Latitude","Longitude"
"28","Victim and Witness Assistance Board","http://www.mass.gov/mova/about-mova/mova-board/","Public","Basic Human Needs","Personal Safety","Level of violent crime",14061929,42.35959,-71.06219
"29","Appeals Court","http://www.mass.gov/courts/court-info/appealscourt/","Public","Basic Human Needs","Personal Safety","Level of violent crime",12977984,42.35921,-71.06113
"30","Board of Bar Examiners","http://www.mass.gov/courts/court-info/sjc/attorneys-bar-applicants/bbe/","Public","Opportunity","Personal Rights","Private property rights",1358923,42.36296,-71.06154
"31","Commission on Judicial Conduct","http://www.mass.gov/cjc/","Public","Opportunity","Personal Freedom and Choice","Corruption",749080,42.35849,-71.06176
"32","Committee for Public Counsel Services","https://www.publiccounsel.net/","Public","Opportunity","Personal Rights","Political rights",171059629,42.35686,-71.06069
"33","Mental Health Legal Advisors Committee","http://www.mhlac.org/","Public","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",1095928,42.35744,-71.05931
"34","Supreme Judicial Court","http://www.mass.gov/courts/court-info/sjc/","Public","Opportunity","Personal Rights","Private property rights",31229106,42.35921,-71.06113
"35","Trial Court","http://www.mass.gov/courts/court-info/trial-court/","Public","Basic Human Needs","Personal Safety","Level of violent crime",631910674,42.35921,-71.06113
"36","House of Representatives","https://malegislature.gov/People/House","Public","Opportunity","Personal Rights","Political rights",40277604,42.35876,-71.0638
"37","Senate","https://malegislature.gov/People/Senate","Public","Opportunity","Personal Rights","Political rights",19694608,42.35876,-71.0638
"38","Joint Legislative Operations","https://malegislature.gov/Committees/Joint","Public","Opportunity","Personal Rights","Political rights",8709884,42.35876,-71.0638
"39","Massachusetts Department of Correction","http://www.mass.gov/eopss/agencies/doc/","Public","Basic Human Needs","Personal Safety","Level of violent crime",602516884,42.28834,-71.15499
"40","Department of Criminal Justice Information Services","http://www.mass.gov/eopss/agencies/dcjis/","Public","Basic Human Needs","Personal Safety","Level of violent crime",5450000,42.34749,-71.06861
"41","Department of Fire Services","http://www.mass.gov/eopss/agencies/dfs/","Public","Basic Human Needs","Personal Safety","Emergency response",23448565,42.35845,-71.05756
"42","Department of Public Safety","http://www.mass.gov/eopss/agencies/dps/","Public","Foundations of Wellbeing","Health and Wellness","Life expectancy",17111250,42.35959,-71.06219
"43","Department of State Police","http://www.mass.gov/eopss/agencies/msp","Public","Basic Human Needs","Personal Safety","Level of violent crime",376180953,42.29744,-71.4142
"44","Massachusetts Emergency Management Agency","http://www.mass.gov/eopss/agencies/mema/","Public","Basic Human Needs","Personal Safety","Emergency response",126373895,42.29715,-71.41287
"45","Military Division","http://www.mass.gov/eopss/agencies/mng/","Public","Basic Human Needs","Personal Safety","Emergency response",61402977,42.34191,-71.06634
"46","Municipal Police Training Committee","http://www.mass.gov/eopss/law-enforce-and-cj/law-enforce/mptc/","Public","Basic Human Needs","Personal Safety","Level of violent crime",6975382,42.30822,-71.06379
"47","Office of the Chief Medical Examiner","http://www.mass.gov/eopss/agencies/ocme/","Public","Basic Human Needs","Personal Safety","Homicide rate",12818762,42.33454,-71.07128
"48","Office of the Secretary of Public Safety and Security","http://www.mass.gov/eopss/agencies/office-of-secretary/","Public","Basic Human Needs","Personal Safety","Level of violent crime",76999505,42.35959,-71.06219
"49","Parole Board","http://www.mass.gov/eopss/agencies/parole-board/","Public","Basic Human Needs","Personal Safety","Level of violent crime",16816587,42.33326,-71.04879
"50","Sex Offender Registry Board","http://www.mass.gov/eopss/agencies/sorb/","Public","Basic Human Needs","Personal Safety","Level of violent crime",3834959,42.35959,-71.06219
"51","Office for Administration and Finance","http://www.mass.gov/anf/","Public","TBD","TBD","TBD",421687754,42.35876,-71.0638
"52","Department of Revenue","http://www.mass.gov/dor/child-support/","Public","Opportunity","Personal Rights","Transparency",1208185400,42.35876,-71.0638
"53","Information Technology Division","http://www.mass.gov/anf/research-and-tech/oversight-agencies/itd/","Public","Foundations of Wellbeing","Access to Information and Communications","Internet users",137616212,42.35876,-71.0638
"54","Operational Services Division","http://www.mass.gov/anf/budget-taxes-and-procurement/oversight-agencies/osd/","Public","TBD","TBD","TBD",22250627,42.35876,-71.0638
"55","Appellate Tax Board","http://www.mass.gov/anf/hearings-and-appeals/oversight-agencies/atb/","Public","Opportunity","Personal Rights","Transparency",2340616,42.35876,-71.0638
"56","Bureau of the State House","http://www.mass.gov/anf/property-mgmt-and-construction/oversight-agencies/bsb/","Public","Basic Human Needs","Personal Safety","Political terror",2522506,42.35876,-71.0638
"57","Civil Service Commission","http://www.mass.gov/anf/hearings-and-appeals/oversight-agencies/csc/","Public","Opportunity","Personal Rights","Transparency",444422,42.35876,-71.0638
"58","Division of Administrative Law Appeals","http://www.mass.gov/anf/hearings-and-appeals/oversight-agencies/dala/","Public","Opportunity","Personal Rights","Political rights",1238949,42.35876,-71.0638
"59","Division of Capital Asset Management  and Maintenance","http://www.mass.gov/anf/property-mgmt-and-construction/oversight-agencies/dcam/","Public","Opportunity","Personal Rights","Transparency",38054889,42.35959,-71.06219
"60","George Fingold Library","http://www.mass.gov/anf/research-and-tech/oversight-agencies/lib/","Public","Foundations of Wellbeing","Access to Basic Knowledge","Adult literacy rate",861925,42.35876,-71.0638
"61","Group Insurance Commission","http://www.mass.gov/anf/employee-insurance-and-retirement-benefits/oversight-agencies/gic/","Public","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",1694629043,42.35876,-71.0638
"62","Human Resources Division","http://www.mass.gov/anf/employment-equal-access-disability/oversight-agencies/hrd/","Public","Opportunity","Personal Rights","Transparency",100813199,42.35876,-71.0638
"63","Massachusetts Developmental Disabilities Council","http://www.mass.gov/anf/employment-equal-access-disability/oversight-agencies/mddc/","Public","Opportunity","Personal Freedom and Choice","Disability support",1739547,42.35876,-71.0638
"64","Massachusetts Office on Disability","http://www.mass.gov/anf/employment-equal-access-disability/oversight-agencies/mod/","Public","Opportunity","Personal Freedom and Choice","Disability support",982366,42.35876,-71.0638
"65","Department of Children and Families","http://www.mass.gov/eohhs/gov/departments/dcf/","Public","Basic Human Needs","Nutrition and Basic Medical Care","Child mortality rate",923451315,42.35275,-71.06215
"66","Department of Developmental Services","http://www.mass.gov/eohhs/gov/departments/dds/","Public","Opportunity","Personal Freedom and Choice","Disability support",1776723792,42.36008,-71.05888
"67","Department of Elder Affairs","http://www.mass.gov/elders/","Public","Foundations of Wellbeing","Health and Wellness","Care for aging",3562670858,42.36008,-71.05888
"68","Department of Mental Health","http://www.mass.gov/eohhs/gov/departments/dmh/","Public","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",744382327,42.35959,-71.06219
"69","Department of Public Health","http://www.mass.gov/eohhs/gov/departments/dmh/","Public","Foundations of Wellbeing","Health and Wellness","Life expectancy",893302027,42.35959,-71.06219
"70","Department of Transitional Assistence",NA,"Public","Basic Human Needs","Shelter","Housing support",696150815,42.35275,-71.06215
"71","Massachusetts Commission for the Blind","http://www.mass.gov/eohhs/gov/departments/mcb/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",33612509,42.35275,-71.06215
"72","Massachusetts Commission for the Deaf and Hard of Hearing","http://www.mass.gov/eohhs/gov/departments/mcdhh/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",5895031,42.35275,-71.06215
"73","Massachusetts Rehabilitation Commission","http://www.mass.gov/eohhs/gov/departments/mrc/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",158689447,42.35275,-71.06215
"74","Office for Refugees and Immigrants","http://www.mass.gov/eohhs/gov/departments/ori/","Public","Opportunity","Tolerance and Inclusion","Tolerance for immigrants",20675138,42.35275,-71.06215
"75","Office of the Secretary of Health and Human Services","http://www.mass.gov/eohhs/gov/departments/che/","Public","Foundations of Wellbeing","Health and Wellness","Life expectancy",11780132801,42.35959,-71.06219
"76","Department of Youth Services","http://www.mass.gov/eohhs/gov/departments/dys/mission-statement.html","Public","Basic Human Needs","Personal Safety","Level of violent crime",177269919,42.35959,-71.06219
"77","Soldiers' Home in Holyoke","http://www.mass.gov/eohhs/gov/departments/hly/","Public","Basic Human Needs","Shelter","Housing support",24479580,42.19944,-72.64008
"78","Department of Transportation","http://www.massdot.state.ma.us/","Public","Opportunity","Personal Freedom and Choice","Transportation",704865801,42.35172,-71.06827
"79","Office of the Secretary of Energy and Environmental Affairs","http://www.mass.gov/eea/","Public","TBD","TBD","TBD",39911119,42.36047,-71.06209
"80","Department of Energy Resources","http://www.mass.gov/eea/grants-and-tech-assistance/guidance-technical-assistance/agencies-and-divisions/doer/","Public","TBD","TBD","TBD",5021205,42.36047,-71.06209
"81","Department of Conservation and Recreation","http://www.mass.gov/eea/agencies/dcr/","Public","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",104609226,42.36638,-71.05896
"82","Department of Agricultural Resources","http://www.mass.gov/eea/agencies/agr/","Public","Basic Human Needs","Nutrition and Basic Medical Care","Depth of food deficit",32448025,42.36638,-71.05896
"83","Department of Environmental Protection","http://www.mass.gov/eea/agencies/massdep/about/","Public","TBD","TBD","TBD",81903384,42.35571,-71.06105
"84","Department of Fish and Game","http://www.mass.gov/eea/agencies/dfg/","Public","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",43829705,42.36638,-71.05896
"85","Department of Public Utilities","http://www.mass.gov/eea/grants-and-tech-assistance/guidance-technical-assistance/agencies-and-divisions/dpu/","Public","TBD","TBD","TBD",14324704,42.3326,-71.09468
"86","Office of the Secretary of Housing and Economic Development",NA,"Public","TBD","TBD","TBD",27782668,42.35959,-71.06219
"87","Department of Housing and Community Development","http://www.mass.gov/hed/economic/eohed/dhcd/","Public","TBD","TBD","TBD",932638400,42.36047,-71.06209
"88","Department of Business Development",NA,"Public","Opportunity","Personal Freedom and Choice","Employment opportunity",10924162,42.36047,-71.06209
"89","Consumer Affairs and Business Regulation","http://www.mass.gov/ocabr/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",1337584,42.35153,-71.06685
"90","Department of Telecommunications and Cable","http://www.mass.gov/ocabr/government/oca-agencies/dtc-lp/","Public","Foundations of Wellbeing","Access to Information and Communications","Mobile telephone subscriptions",3051062,42.34585,-71.0643
"91","Division of Banks","http://www.mass.gov/ocabr/government/oca-agencies/dob-lp/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",18843118,42.34585,-71.0643
"92","Division of Insurance","http://www.mass.gov/ocabr/government/oca-agencies/doi-lp/","Public","Opportunity","Personal Rights","Political rights",14712080,42.34585,-71.0643
"93","Division of Professional Licensure","http://www.mass.gov/ocabr/government/oca-agencies/dpl-lp/","Public","Opportunity","Personal Rights","Transparency",4853413,42.34585,-71.0643
"94","Division of Standards","http://www.mass.gov/ocabr/government/oca-agencies/dos-lp/","Public","Opportunity","Personal Rights","Transparency",1891316,42.35959,-71.06219
"95","Massachusetts Marketing Partnership","http://www.massvacation.com/business-resources/related-agencies/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",20713375,42.35153,-71.06685
"96","Executive Office of Labor and Workforce Development","http://www.mass.gov/lwd/","Public","Opportunity","Personal Rights","Political rights",2582312,42.35959,-71.06219
"97","Department of Unemployment Assistance","http://www.mass.gov/lwd/unemployment-insur/","Public","Opportunity","Personal Rights","Political rights",89006277,42.36204,-71.06355
"98","Department of Labor Standards","http://www.mass.gov/lwd/labor-standards/","Public","Opportunity","Personal Rights","Political rights",2813104,42.36204,-71.06355
"99","Office of the Secretary of Labor and Workforce Development","http://www.mass.gov/lwd/","Public","Opportunity","Personal Rights","Political rights",38534242,42.35959,-71.06219
"100","Department of Career Services","http://www.mass.gov/lwd/employment-services/","Public","Opportunity","Personal Freedom and Choice","Employment opportunity",98883699,42.36204,-71.06355
"101","Department of Industrial Accidents","http://www.mass.gov/lwd/workers-compensation/","Public","Opportunity","Personal Rights","Political rights",19144105,42.36264,-71.05921
"102","Department of Labor Relations","http://www.mass.gov/lwd/labor-relations/","Public","Opportunity","Personal Rights","Political rights",2249659,42.36204,-71.06355
"103","Arts and Culture","http://www.cityofboston.gov/arts/","Public","TBD","TBD","TBD",979000,42.3602,-71.05795
"104","Assessing Department","http://www.cityofboston.gov/assessing/","Public","Opportunity","Personal Rights","Transparency",6682000,42.3602,-71.05795
"105","Boston Centers for Youth & Families","http://www.cityofboston.gov/bcyf/","Public","Foundations of Wellbeing","Access to Basic Knowledge","Upper secondary school enrollment",24180000,42.3602,-71.05795
"106","Department of Innovation and Technology","http://www.cityofboston.gov/doit/","Public","Foundations of Wellbeing","Access to Information and Communications","Internet users",30616000,42.3602,-71.05795
"107","Law Department","http://www.cityofboston.gov/law/","Public","Opportunity","Tolerance and Inclusion","Community safety net",6217000,42.3602,-71.05795
"108","Boston Police Department","http://bpdnews.com/","Public","Basic Human Needs","Personal Safety","Emergency response",319700000,42.3602,-71.05795
"109","Fire Department","http://www.cityofboston.gov/fire/","Public","Basic Human Needs","Shelter","Availability of affordable housing",204615000,42.3602,-71.05795
"110","Property & Construction Management Department","http://www.cityofboston.gov/propertymanagement/","Public","Basic Human Needs","Water and Sanitation","Access to improved sanitation facilities",25330000,42.3602,-71.05795
"111","Public Works Department","http://www.cityofboston.gov/publicworks/","Public","Opportunity","Personal Freedom and Choice","Transportation",83559000,42.3602,-71.05795
"112","Transportation Department","http://www.cityofboston.gov/transportation/","Public","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",23521000,42.3602,-71.05795
"113","The Parks & Recreation Department","http://www.cityofboston.gov/parks/","Public","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",16218000,42.3602,-71.05795
"114","Boston Publich Health Commission","http://www.bphc.org/Pages/default.aspx","Public","Foundations of Wellbeing","Health and Wellness","Life expectancy",73827000,42.3602,-71.05795
"115","Boston Public Library","http://www.bpl.org/","Public","Opportunity","Access to Advanced Education","Inequality in the attainment of education",33416000,42.3602,-71.05795
"116","Office of the Parking Clerk","http://www.cityofboston.gov/parking/","Public","Opportunity","Personal Rights","Freedom of movement",7818000,42.3602,-71.05795
"117","Inspectional Services Department","http://www.cityofboston.gov/isd/","Public","Basic Human Needs","Water and Sanitation","Access to improved sanitation facilities",16704000,42.3602,-71.05795
"118","Boston Public Schools","http://www.bostonpublicschools.org/","Public","Opportunity","Access to Advanced Education","Inequality in the attainment of education",974929000,42.3602,-71.05795
"119","The Department of Youth Engagement & Employment (Youth Fund)","https://youth.boston.gov","Public",NA,NA,NA,4991000,42.3602,-71.05795
"120","Department of Neighborhood Development","http://dnd.cityofboston.gov/","Public","Basic Human Needs","Shelter","Housing support",4971000,42.3602,-71.05795
"121","Veterans' Services","http://www.cityofboston.gov/veterans/","Public","TBD","TBD","TBD",4489000,42.3602,-71.05795
"122","Commission on Affairs of the Elderly","http://www.cityofboston.gov/elderly/","Public","Foundations of Wellbeing","Health and Wellness","Care for aging",3109000,42.3602,-71.05795
"123","Purchasing Department","http://www.cityofboston.gov/purchasing/","Public","Opportunity","Personal Rights","Transparency",1774000,42.3602,-71.05795
"124","City of Boston Licensing Board","http://www.cityofboston.gov/licensing/","Public","Basic Human Needs","Personal Safety","Perceived criminality",711000,42.3602,-71.05795
"125","Treasury Department","http://www.cityofboston.gov/treasury/","Public","Opportunity","Personal Rights","Transparency",4842000,42.3602,-71.05795
"126","Election Department","http://www.cityofboston.gov/elections/","Public","Opportunity","Personal Rights","Political rights",3089000,42.3602,-71.05795
"127","City Council","http://www.cityofboston.gov/citycouncil/","Public","Opportunity","Personal Rights","Transparency",5214000,42.3602,-71.05795
"128","City Clerk","http://www.cityofboston.gov/cityclerk/","Public","Opportunity","Personal Rights","Transparency",1082000,42.3602,-71.05795
"129","Office of Women's Advancement","http://www.cityofboston.gov/women/","Public","Opportunity","Tolerance and Inclusion","Discrimination and violence against minorities",207000,42.3602,-71.05795
"130","Consumer Affairs & Licensing","http://www.cityofboston.gov/consumeraffairs/","Public","Opportunity","Personal Rights","Transparency",461000,42.3602,-71.05795
"131","Mayor's Commission for Persons with Disabilities","http://www.cityofboston.gov/disability/","Public","Opportunity","Personal Freedom and Choice","Disability support",399000,42.3602,-71.05795
"132","Office of Emergency Management","Office of Emergency Management","Public","Basic Human Needs","Personal Safety","Emergency response",466000,42.3602,-71.05795
"133","Snow Center","http://www.cityofboston.gov/snow/default.asp","Public","Opportunity","Personal Rights","Freedom of movement",18511000,42.3602,-71.05795
"134","Environment Department","http://www.cityofboston.gov/environment/","Public","Basic Human Needs","Water and Sanitation","Access to improved sanitation facilities",2083000,42.3602,-71.05795
"135","Office of Labor Relations","http://www.cityofboston.gov/labor/","Public","Opportunity","Tolerance and Inclusion","Discrimination and violence against minorities",1423000,42.3602,-71.05795
"136","Office of Neighborhood Services","http://www.cityofboston.gov/ons/","Public","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",1463000,42.3602,-71.05795
"137","Mayor's Office of New Bostonians","http://www.cityofboston.gov/newbostonians/","Public","Opportunity","Tolerance and Inclusion","Tolerance for immigrants",366000,42.3602,-71.05795
"138","Registry Division","http://www.cityofboston.gov/registry/","Public","Opportunity","Personal Rights","Transparency",1035000,42.3602,-71.05795
"139","Auditing Department","http://www.cityofboston.gov/auditing/","Public","Opportunity","Personal Rights","Transparency",2607000,42.3602,-71.05795
"140","HRCA Brookline Housing 1550 Beacon Plaza","http://www.hebrewseniorlife.org/ccb-goldman-residences","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",3596323,42.29679,-71.13098
"141","Center Communities Of Brookline Inc","http://www.hebrewseniorlife.org/center-communities-brookline","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",5275879,42.29679,-71.13098
"142","HRCA Brookline Housing 112-120 Centre Court","http://www.hebrewseniorlife.org/ccb-cohen-residences","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",3221552,42.29679,-71.13098
"143","Boston Catholic Cemetery Association","http://www.bostoncemetery.com/","Social","TBD","TBD","TBD",2478439,42.27833,-71.11512
"144","Emerson College","http://www.emerson.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",216203638,42.35222,-71.06581
"145","New England College of Optometry","http://www.neco.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",23100877,42.35185,-71.08686
"146","Northeastern University","http://www.northeastern.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",1368032665,42.33935,-71.08817
"147","Wentworth Institute of Technology","http://www.wit.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",172742047,42.33665,-71.09571
"148","Fisher College","http://www.fisher.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",25313225,42.35531,-71.07417
"149","Boston Medical Library","https://www.countway.harvard.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",1486156,42.33513,-71.10367
"150","Big Brothers Big Sisters of Massachusetts Bay Inc","http://www.bbbsmb.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",5588713,42.355,-71.05675
"151","Trustees of Boston University","http://www.bu.edu/","Social","Opportunity","Access to Advanced Education","Globally ranked universities",2080233630,42.35144,-71.11525
"152","Young Womens Christian Association of Boston Inc","http://www.ywboston.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",1822008,42.34862,-71.07456
"153","Boston Symphony Orchestra Inc","https://www.bso.org/","Social","TBD","TBD","TBD",100653882,42.34292,-71.08568
"154","Young Mens Christian Association Greater Boston","http://ymcaboston.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",71112510,42.34063,-71.08766
"155","Combined Jewish Philanthropies of Greater Boston Inc","http://www.cjp.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",431962655,42.35554,-71.05388
"156","Benjamin Franklin Institute of Technology","http://www.bfit.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",12354235,42.3461,-71.07024
"157","Massachusetts Society For The Prevention Of Cruelty To Animals","https://www.mspca.org/","Social","TBD","TBD","TBD",57650787,42.32289,-71.11121
"158","Museum Of Fine Arts","http://www.mfa.org/","Social","TBD","TBD","TBD",151023166,42.33946,-71.09414
"159","New England Baptist Hospital","http://www.nebh.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",237413890,42.32932,-71.10719
"160","Simmons College","http://www.simmons.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",172865232,42.33908,-71.10007
"161","Wheelock College","http://www.wheelock.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",58081834,42.34199,-71.10602
"162","American Meteorological Society","https://www.ametsoc.org/ams/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",17597352,42.35692,-71.06708
"163","American Congregational Association","http://www.congregationallibrary.org/","Social","TBD","TBD","TBD",1817758,42.35772,-71.06238
"164","Animal Rescue League Of Boston","http://www.arlboston.org/","Social","TBD","TBD","TBD",6801744,42.34705,-71.06977
"165","North Bennet Street School","http://www.nbss.edu/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",11109778,42.36289,-71.05454
"166","Judge Baker Childrens Center","http://jbcc.harvard.edu/","Social","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",13475909,42.33089,-71.11009
"167","Beth Israel Deaconess Medical Center Inc","http://www.bidmc.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",1462255481,42.33965,-71.10525
"168","Greater Boston Legal Services Inc","https://www.gbls.org/","Social","Opportunity","Personal Rights","Political rights",14370795,42.36419,-71.06045
"169","Museum Of Science","http://www.mos.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Lower secondary school enrollment",70431180,42.3678,-71.07081
"170","Boys And Girls Clubs Of Boston Inc","http://www.bgcb.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",26449067,42.35799,-71.05597
"171","The Childrens Museum","http://www.bostonchildrensmuseum.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",9942895,42.35187,-71.04958
"172","Boston Foundation Inc","http://www.tbf.org/","Social","TBD","TBD","TBD",128412322,42.35051,-71.07044
"173","Crittenton Womens Union Inc","https://www.empathways.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",10488089,42.3593,-71.05799
"174","Ellis Memorial And Eldredge House Inc","http://www.ellismemorial.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",3482417,42.34675,-71.07107
"175","Rogerson Communities","http://www.rogerson.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",8136728,42.2844,-71.12789
"176","Sherrill House Inc","http://www.sherrillhouse.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",22065342,42.32797,-71.11139
"177","International Institute Of New England Inc","http://iine.org/","Social","Opportunity","Tolerance and Inclusion","Tolerance for immigrants",15524847,42.3567,-71.05856
"178","Institute Of Contemporary Art","https://www.icaboston.org/","Social","TBD","TBD","TBD",14449285,42.35289,-71.04304
"179","Isabella Stewart Gardner Museum Inc","http://www.gardnermuseum.org/home","Social","TBD","TBD","TBD",23142445,42.33823,-71.09896
"180","Jewish Vocational Service Inc","http://www.jvs-boston.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",12131766,42.36008,-71.05888
"181","The Kingsley Montessori School Inc","http://www.kingsley.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",11130696,42.35031,-71.08232
"182","Wgbh Educational Foundation","http://www.wgbh.org/","Social","Foundations of Wellbeing","Access to Information and Communications","Press Freedom Index",195429649,42.35669,-71.1485
"183","MCPHS University","https://www.mcphs.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",292212233,42.33679,-71.10121
"184","Boston Rescue Mission Inc","http://www.brm.org/","Social","Basic Human Needs","Shelter","Housing support",4979127,42.36008,-71.05888
"185","National Braille Press Inc","http://www.nbp.org/","Social","Opportunity","Personal Freedom and Choice","Disability support",4475599,42.34131,-71.0882
