Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,EEOST Capital Fund Program,"This program awards grants, of up to one million dollars ($1,000,000), to large group early education and out of school time programs for major capital building projects.æ","Information on large programs, on applications",Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Universal Pre-Kindergarten (UPK) Program,UPK promotes school readiness and positive outcomes for children. The program includes grants for programs to meet and maintain the quality requirements of the program.,"Information on existing UPK programs, program applications",Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Brain Building in Progress,"Brain Building in Progress is a statewide campaign to raise public awareness of the importance of young children's healthy development to the future economic prosperity of the Commonwealth, and the important role everyone can play in building young childrenÍs brains.",Pageviews for campaign website,Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Elementary and Secondary Education,http://www.mass.gov/edu/government/departments-and-boards/ese/,,,https://twitter.com/maschoolsk12,,"To strengthen the Commonwealth's public education system so that every student is prepared to succeed in postsecondary education, compete in the global economy, and understand the rights and responsibilities of American citizens, and in so doing, to close all proficiency gaps.",Core,The Department of Elementary and Secondary Education (ESE) is committed to preparing all students for success in the world that awaits them after high school.æ,"Detailed data on elementary and secondary students, schools, families",Closed,Public,Public,State,Massachusetts,75 Pleasant Street,Boston,MA,2148,Middlesex,USA,Massachusetts,,,6044029290,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Lower secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Gender parity in secondary enrollment,Opportunity,Access to Advanced Education,Years of tertiary schooling,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,6044029290,42.42733,-71.06917
Department of Elementary and Secondary Education,http://www.mass.gov/edu/government/departments-and-boards/ese/,,,https://twitter.com/maschoolsk13,,"To strengthen the Commonwealth's public education system so that every student is prepared to succeed in postsecondary education, compete in the global economy, and understand the rights and responsibilities of American citizens, and in so doing, to close all proficiency gaps.",Chapter 70 Program,"The Chapter 70 program is the major program of state aid to public elementary and secondary schools. In addition to providing state aid to support school operations, it also establishes minimum spending requirements for each school district and minimum requirements for each municipality's share of school costs.","State grants and grant applications, budget information",Open,Public,Public,State,Massachusetts,75 Pleasant Street,Boston,MA,2148,Middlesex,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Lower secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Gender parity in secondary enrollment,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,42.42733,-71.06917
Department of Elementary and Secondary Education,http://www.mass.gov/edu/government/departments-and-boards/ese/,,,https://twitter.com/maschoolsk14,,"To strengthen the Commonwealth's public education system so that every student is prepared to succeed in postsecondary education, compete in the global economy, and understand the rights and responsibilities of American citizens, and in so doing, to close all proficiency gaps.",Massachusetts Charter Schools,"The Office of Charter Schools and School Redesign supports and oversees the creation and sustainability of a variety of high quality public school options-including those that innovate in the areas of instructional practice, time, resources, and technology-to ensure that all students in the Commonwealth have equitable access to a pathway to success after high school.","Charter school applications, charter school performance, budgets",Open,Public,Public,State,Massachusetts,75 Pleasant Street,Boston,MA,2148,Middlesex,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Lower secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,Foundations of Wellbeing,Access to Basic Knowledge,Gender parity in secondary enrollment,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,42.42733,-71.06917
Department of Elementary and Secondary Education,http://www.mass.gov/edu/government/departments-and-boards/ese/,,,https://twitter.com/maschoolsk15,,"To strengthen the Commonwealth's public education system so that every student is prepared to succeed in postsecondary education, compete in the global economy, and understand the rights and responsibilities of American citizens, and in so doing, to close all proficiency gaps.",Massachusetts Family Literacy Consortium (MFLC),"The MFLC promotes awareness of the value and benefit of family literacy; provides family literacy products and training; and creates opportunities for collaboration in local communities and at the state level. The MFLC works with public and private partners, including parents and adult education providers, to support family literacy in order to promote early literacy and reading proficiency by the end of third grade.","Information on partnerships, trainings provided",Closed,Public,Public,State,Massachusetts,75 Pleasant Street,Boston,MA,2148,Middlesex,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Adult literacy rate,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,,,,,,,42.42733,-71.06917
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Core,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.","Information on student higher education enrollment, achievement, outcomes; higher education offerings",Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,151113334,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,Opportunity,Access to Advanced Education,Inequality in the attainment of education,Opportunity,Access to Advanced Education,Women's average years in school,Opportunity,Access to Advanced Education,Globally ranked universities,,,,,,,,151113334,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Vision Project,"Massachusetts is engaged in a fierce competition with other states and nations for talent, investment and jobs. The stateÍs primary assets in this competition are the overall educational level of our people and our workforce and the inventiveness and competence of the creative individuals and organizational leaders who drive our innovation-dependent, knowledge-based economy. Nurturing these assets through education, research and creative activity is the most important contribution of the stateÍs colleges and universities to the overall well-being of Massachusetts. The Vision Project is the vehicle through which public higher education has come together to stay focused on this work and hold ourselves accountable for results.",Strategic plan for improving educational outcomes,Open,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,Opportunity,Access to Advanced Education,Globally ranked universities,Opportunity,Access to Advanced Education,Women's average years in school,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Performance Incentive Fund,"TheæVision Project Performance Incentive Fund (VP-PIF)æis an annual, competitive seed grant program designed to launch and/or scale effective strategies and collaborative partnerships among the Commonwealth's public higher education campuses to advance the Vision Project goals of national leadership in key outcome areas",Partner colleges and organizations,Open,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Globally ranked universities,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Commonwealth Dual Enrollment Partnership,"The Commonwealth Dual Enrollment Partnership (CDEP) provides opportunities for Massachusetts high school students to take college-level courses at a discounted price* and earn credit toward high school completion and their future college degrees. CDEP eases the transition from high school to college, allows students to get a head start on their college careers, and provides meaningful and challenging academic experiences to qualified students who otherwise may not have access to an early college experience.æ","Student dual enrollment, progress, completion",Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Commonwealth Honors Program,Massachusetts is the only state in the country to offer an integrated network of honors programs throughout the public higher education system. There areæCommonwealth Honors Programsæin community colleges and state universities and on the campuses of the University of Massachusetts.,"Honor student college achievement, completion, outcomes",Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",MassTransfer,"MassTransferæmakes it easy for students to transfer from one Massachusetts public higher education institution to another. It is a way for community college students who complete associate degrees to enroll in linked programs with the full transfer of credit, guaranteed admission and a tuition discount. It also provides any student who completes theæMassTransferæBlock with the benefit of satisfying the general education/distribution/core requirements at any other public higher education institution in the Commonwealth.","Transfer student college achievement, completion, outcomes",Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",College Access Challenge Grant Program,funding for the continuation of six regional partnerships and an expansion pilot project. The federal funding for the partnerships support the delivery of college access programming to students and families throughout the Commonwealth.ææ,Information on partnerships,Open,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",GEAR UPæ,"GEAR UP (Gaining Early Awareness and Readiness for Undergraduate Programs) is a federally-funded program designed to give more low-income students the skills, encouragement, and preparation needed to pursue postsecondary education and to strengthen academic programs and student services at participating schools.",Information on low-income students applying to college,Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Improving Teacher Quality State Grant Program,"The Department of Higher Education administers these funds by awarding competitive sub-grants to eligible partnerships of higher education institutions and high-need public schools. These partnerships use grant funds to conduct professional development activities in core academic subjects for teachers, paraprofessionals and (if appropriate) principals.","Info on partnerships, teachers who have completed trainings",Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Future Ready,"Future Readyæis a public campaign in Massachusetts to increase awareness and promote understanding of the tools available to ensure students are ""college and career ready.""æ",Info on communities and partners served,Open,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",YourPlanForTheFuture,"a web portal designed to help Massachusetts students manage their educational and career pathways. It provides students with one central planning site where they can organize their academic information, get free test-prep tutorials, research schools, track applications, apply for financial aid and more. The goal of YourPlanForTheFuture is to make quality post-secondary opportunities more accessible to students throughout the state.",Data on students using the portal,Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Access to Advanced Education,Inequality in the attainment of education,,,,,,,,,,,,,,,,,,42.35959,-71.06219
Department of Higher Education,http://www.mass.edu/,,,https://twitter.com/MassDHE,,"The Board of Higher Education is the statutorily created agency in Massachusetts responsible for defining the mission of and coordinating the CommonwealthÍs system of public higher education and its institutions. The Board of Higher Education works to create and maintain a system of public higher education which provides Massachusetts citizens with the opportunity to participate in academic and educational programs for their personal betterment and growth, to contribute to the areaÍs existing base of research and knowledge, and to contribute to the CommonwealthÍs future economic growth and development.",Nursing & Allied Health Initiative,"The DHEÍsæNursing and Allied Health Initiativeæperforms a critical intermediary role as facilitator and independent broker of public and private partnerships of higher education faculty and executives, health care employers, industry associations and other key stakeholders. This initiative also sponsors, leads and coordinates statewide and regional pilot innovation programs to increase the supply of qualified nurses and allied health professionals, increase the capacity of nursing faculty in our higher education institutions, and reform curriculum to address emerging industry requirements for healthcare quality improvements.",Information on nursing and other health care students and partnerships,Closed,Public,Public,State,Massachusetts,One Ashburton Place,Boston,MA,2108,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Health and Wellness,Life expectancy,,,,,,,,,,,,,,,,,,42.35959,-71.06219
